top - 10:20:25 up 23:51,  4 users,  load average: 2.92, 2.78, 2.77
Tasks: 382 total,   5 running, 377 sleeping,   0 stopped,   0 zombie
%Cpu(s):  9.5 us, 58.1 sy,  0.0 ni, 28.6 id,  3.8 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   9866.5 total,    109.8 free,   9441.3 used,    596.3 buff/cache     
MiB Swap:  10240.0 total,   4641.1 free,   5598.9 used.    425.2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    623 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    624 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    625 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    626 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    627 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    628 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    629 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    630 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    631 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    696 root      20   0  416804  10832  10144 S   0.0   0.1   2:05.57 systemd+
    799 root      20   0   15592   4568   4460 S   0.0   0.0   0:00.47 systemd+
    805 root      -2   0       0      0      0 S   0.0   0.0   0:00.01 psimon
    850 root      20   0   37716   4708   4700 S   0.0   0.0   0:00.94 systemd+
    872 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
   1001 root      20   0       0      0      0 S   0.0   0.0   0:00.00 jbd2/nv+
   1002 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   1114 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   1176 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   1177 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   1178 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   1206 root      20   0  231552   2104   1620 D   0.0   0.0   0:29.37 mount.n+
   1221 systemd+  20   0   22504   6680   5616 S   0.0   0.1   0:24.09 systemd+
   1222 root      16  -4   20420   1548   1508 S   0.0   0.0   0:00.23 auditd
   1251 dbus      20   0    9500   2588   2580 S   0.0   0.0   0:00.14 dbus-br+
   1252 dbus      20   0   10008   3368   2376 S   0.0   0.0   0:26.83 dbus-br+
   1254 avahi     20   0    6488   3256   3088 S   0.0   0.0   0:02.52 avahi-d+
   1255 root      20   0   10484   2984   2976 S   0.0   0.0   0:00.52 bluetoo+
   1267 root      20   0  246592   6408   6400 S   0.0   0.1   0:00.25 ds-inhi+
   1274 root      20   0   80940   3084   2924 S   0.0   0.0   0:08.04 irqbala+
   1279 chrony    20   0   86316   2640   2532 S   0.0   0.0   0:00.50 chronyd
   1288 polkitd   20   0  383936   3888   3776 S   0.0   0.0   0:14.28 polkitd
   1290 rtkit     21   1   87200   2724   2684 S   0.0   0.0   0:00.97 rtkit-d+
   1296 root      20   0   10024   2640   2636 S   0.0   0.0   0:00.12 smartd
   1306 root      20   0  536084   5780   5676 S   0.0   0.1   0:29.56 account+
   1307 root      20   0  531344   4832   4824 S   0.0   0.0   0:00.14 switche+
   1321 root      20   0   16596   5004   4880 S   0.0   0.0   0:02.04 systemd+
   1326 root      20   0  542984   4836   4564 S   0.0   0.0   0:02.38 udisksd
   1341 root      20   0  542592   8988   7976 S   0.0   0.1   0:08.85 upowerd
   1376 avahi     20   0    6488    908    904 S   0.0   0.0   0:00.00 avahi-d+
   1377 root      39  19    4704   2316   2296 S   0.0   0.0   0:00.07 alsactl
   1443 root      20   0  390760   3716   3708 S   0.0   0.0   0:00.73 ModemMa+
   1445 root      20   0  365848   5824   5816 S   0.0   0.1   0:00.98 firewal+
   1500 root      20   0  306044   3420   3416 S   0.0   0.0   0:00.13 uresour+
   1559 root      20   0  558592   9100   7712 S   0.0   0.1   2:14.87 Network+
   1579 root      20   0   15728   4516   4392 S   0.0   0.0   0:08.64 wpa_sup+
   1593 root      20   0  251740   3000   2992 S   0.0   0.0   0:00.14 cupsd
   1597 root      20   0    8200   1756   1748 S   0.0   0.0   0:00.02 sshd
   1602 root      20   0 1329960 116524 113108 S   0.0   1.2   1:00.47 fail2ba+
   1606 unbound   20   0  255912   2636   2628 S   0.0   0.0   0:00.16 unbound
   1609 root      20   0    5040   2352   2348 S   0.0   0.0   0:00.01 atd
   1614 root      20   0  232540   6056   5948 S   0.0   0.1   0:00.18 crond
   1632 root      20   0  383636   4108   4104 S   0.0   0.0   0:00.12 sddm
   1876 root      10 -10       0      0      0 S   0.0   0.0   0:00.00 krfcommd
   1940 clamupd+  20   0  114120   2340   2332 S   0.0   0.0   0:02.53 freshcl+
   1941 root      20   0 1015544 144904 144260 S   0.0   1.4   2:06.89 rsyslogd
   1988 root      20   0    2768    208    108 S   0.0   0.0   0:47.50 falcond
   1989 root      20   0  533740   7980   7648 S   0.0   0.1   0:00.98 power-p+
   1999 root      20   0  683164   2296   2288 S   0.0   0.0   0:00.02 scx_loa+
   2023 root      20   0  305600   3880   3876 S   0.0   0.0   0:00.10 sddm-he+
   2032 claivea+  20   0   22268   5496   5164 S   0.0   0.1   0:15.00 systemd
   2034 claivea+  20   0   16224   1000    996 S   0.0   0.0   0:00.00 (sd-pam)
   2079 claivea+  20   0    9012   2672   2664 S   0.0   0.0   0:00.07 dbus-br+
   2080 claivea+  20   0    8300   3096   2216 S   0.0   0.0   0:32.60 dbus-br+
   2084 claivea+  20   0  523332   4144   4140 S   0.0   0.0   0:00.22 startpl+
   2120 claivea+  20   0  531380   3476   3148 S   0.0   0.0   0:01.22 xdg-per+
   2185 claivea+  20   0  381984   7512   7508 S   0.0   0.1   0:00.04 kwin_wa+
   2188 claivea+  20   0  382032   4508   4292 S   0.0   0.0   1:59.09 uresour+
   2196 claivea+  20   0  540048   2716   2708 S   0.0   0.0   0:00.11 gvfsd
   2198 claivea+  20   0  339012  10712   8164 S   0.0   0.1  26:19.67 pipewire
   2199 claivea+  20   0  940988  17064  13740 S   0.0   0.2  38:38.70 wireplu+
   2202 claivea+  20   0  429352  13264   8228 S   0.0   0.1  42:49.19 pipewir+
   2203 claivea+  39  19  256.4g  16060  15028 S   0.0   0.2   0:01.18 baloo_f+
   2232 claivea+  20   0  920100   8780   7124 S   0.0   0.1   2:10.69 xdg-des+
   2250 claivea+  20   0  830652   4060   3700 S   0.0   0.0   0:03.84 xdg-doc+
   2256 root      20   0    2572   1708   1704 S   0.0   0.0   0:00.00 fusermo+
   2368 claivea+  20   0  380656   3652   3648 S   0.0   0.0   0:00.26 at-spi-+
   2384 claivea+  20   0    8884   2652   2644 S   0.0   0.0   0:00.00 dbus-br+
   2388 claivea+  20   0    5028   2376   2372 S   0.0   0.0   0:00.01 dbus-br+
